fighter_name,fighter_url
Gabriel Bonfim,http://ufcstats.com/fighter-details/01641ba5df0c69b0
Randy Brown,http://ufcstats.com/fighter-details/c6aee362c7a7d482
Matt Schnell,http://ufcstats.com/fighter-details/67c1d46f4ed16f9e
Joseph Morales,http://ufcstats.com/fighter-details/2fe9032955c2e013
Muslim Salikhov,http://ufcstats.com/fighter-details/447f9858ae78f921
Uros Medic,http://ufcstats.com/fighter-details/681399317dbf4701
Chris Padilla,http://ufcstats.com/fighter-details/06626b6287e1ae1e
Ismael Bonfim,http://ufcstats.com/fighter-details/eb393afdbe3293d5
Christian Leroy Duncan,http://ufcstats.com/fighter-details/a93f94c923c3a9cb
Marco Tulio,http://ufcstats.com/fighter-details/9384e71bca6c409d
Hyder Amil,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
Jamall Emmers,http://ufcstats.com/fighter-details/e00a3dee329a51f7
Ricky Simon,http://ufcstats.com/fighter-details/5987b2458f4b5290
Raoni Barcelos,http://ufcstats.com/fighter-details/b9f28e7045fdfce7
Mayra Bueno Silva,http://ufcstats.com/fighter-details/cc8c623cca88f54f
Jacqueline Cavalcanti,http://ufcstats.com/fighter-details/e3964ece586e0635
Josh Hokit,http://ufcstats.com/fighter-details/955da1675ad58a50
Max Gimenis,http://ufcstats.com/fighter-details/6a311920edd73c85
Tecia Pennington,http://ufcstats.com/fighter-details/31ef8b67e13495b3
Denise Gomes,http://ufcstats.com/fighter-details/cffb87059e645bd1
Miles Johns,http://ufcstats.com/fighter-details/46e0d677f91bacc0
Daniel Marcos,http://ufcstats.com/fighter-details/850266b3dc4e506e
Zach Reese,http://ufcstats.com/fighter-details/23dec7c47cb418f8
Jackson McVey,http://ufcstats.com/fighter-details/3eeec2f53cebdf12
Steve Garcia,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889
David Onama,http://ufcstats.com/fighter-details/ffe9703408fb5964
Ante Delija,http://ufcstats.com/fighter-details/7d8435c56043b0ae
Jeremiah Wells,http://ufcstats.com/fighter-details/d66a46de8d705353
Themba Gorimbo,http://ufcstats.com/fighter-details/40f3cb27fc7305a1
Isaac Dulgarian,http://ufcstats.com/fighter-details/a57cb948c4c70a47
Yadier del Valle,http://ufcstats.com/fighter-details/70380ccdc81915b8
Charles Radtke,http://ufcstats.com/fighter-details/feedf3053472fe56
Daniel Frunza,http://ufcstats.com/fighter-details/7cec3c4a5e7b6d68
Allan Nascimento,http://ufcstats.com/fighter-details/253076a23d03dcd0
Cody Durden,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036
Billy Elekana,http://ufcstats.com/fighter-details/07a74004d964c7f4
Kevin Christian,http://ufcstats.com/fighter-details/7e9b36a9847db116
Timmy Cuamba,http://ufcstats.com/fighter-details/0e46690e55a8df75
ChangHo Lee,http://ufcstats.com/fighter-details/117a06469813e4ef
